Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
Mohammad Nawaz (3) (PAK),2016-2026,98,69,17,911,45*,17.51,683,133.38,0,0,9,68,48,
A Johnson (CAN),2022-2025,31,31,3,910,121*,32.5,618,147.24,2,6,5,85,60,
JO Holder (WI),2014-2026,98,69,21,909,49,18.93,639,142.25,0,0,9,53,62,
R Shepherd (WI),2020-2026,81,57,24,909,52*,27.54,627,144.97,0,1,5,51,67,
Yasim Murtaza (HKG),2022-2026,79,63,8,909,60,16.52,780,116.53,0,3,1,64,39,
CV Anto (KUW),2023-2026,44,44,5,907,75,23.25,612,148.2,0,3,1,59,66,
R Nehonde (BOT),2019-2026,59,51,9,906,63,21.57,960,94.37,0,3,3,69,16,
SE Rutherford (WI),2018-2026,56,48,11,902,76*,24.37,611,147.62,0,6,7,65,57,
MA Leask (SCOT),2013-2026,80,66,9,901,58,15.8,704,127.98,0,1,5,59,46,
E Chigumbura (ZIM),2006-2020,57,56,9,893,54*,19.0,635,140.62,0,3,6,61,53,
JE Root (ENG),2012-2019,32,30,5,893,90*,35.72,707,126.3,0,5,2,92,16,
Muhammad Usman (UAE),2016-2022,47,43,6,891,89*,24.08,778,114.52,0,3,3,73,27,
DM de Silva (SL),2015-2026,48,47,4,890,66*,20.69,768,115.88,0,3,2,77,18,
G Malla (NEP),2014-2022,45,39,1,883,107,23.23,734,120.29,1,2,1,76,36,
Ahmad Ramdoni (INA),2022-2025,81,64,19,882,46,19.6,1001,88.11,0,0,3,67,29,
BFW de Leede (NED),2018-2026,49,44,12,881,91*,27.53,826,106.65,0,5,4,65,24,
M Taylor (BHM),2021-2026,39,39,1,879,71*,23.13,872,100.8,0,7,5,81,38,
Selim Salau (NGA),2024-2026,37,36,0,871,112,24.19,789,110.39,1,1,1,83,20,
Shubman Gill (IND),2023-2025,36,36,5,869,126*,28.03,627,138.59,1,3,2,98,26,
Kamran Khan (QAT),2019-2025,39,36,1,864,88,24.68,639,135.21,0,5,1,77,50,
TW Nightingale (GUE),2020-2026,48,44,3,864,75,21.07,668,129.34,0,4,4,75,35,
Mohammad Naim (BAN),2019-2025,38,38,2,860,81,23.88,841,102.25,0,4,2,77,18,
R Mazumder (CYP),2021-2026,38,37,6,858,80*,27.67,776,110.56,0,6,1,100,11,
T Manders (BER),2021-2026,30,29,4,852,84,34.08,663,128.5,0,7,3,82,35,
AR Ramjani (UGA),2022-2025,65,45,11,850,78,25.0,646,131.57,0,5,3,66,31,
RL Chase (WI),2021-2026,60,44,8,846,67*,23.5,713,118.65,0,4,5,73,22,
Mohammad Ihsan (ESP),2022-2025,24,24,6,845,160,46.94,484,174.58,3,1,0,71,57,
D Visser (Samoa),2024-2026,23,23,5,845,132,46.94,595,142.01,3,3,1,86,38,
MR Adair (IRE),2019-2026,100,70,15,844,72,15.34,656,128.65,0,1,6,57,40,
KH Prajapati (OMA),2021-2024,47,46,5,843,74*,20.56,780,108.07,0,6,5,83,26,
KS Leverock (BER),2019-2023,29,29,4,842,103,33.68,566,148.76,1,4,4,70,48,
A Dizija (SRB),2022-2026,41,40,1,836,92,21.43,751,111.31,0,6,3,80,29,
C Rubagumya (RWN),2021-2025,91,75,14,834,40,13.67,981,85.01,0,0,11,52,13,
PW Hasaranga (SL),2019-2026,98,79,17,831,71,13.4,658,126.29,0,2,8,82,18,
IO Okpe (NGA),2019-2026,87,72,13,830,65*,14.06,752,110.37,0,2,6,34,34,
Saqlain Arshad (QAT),2019-2026,43,42,2,830,76,20.75,669,124.06,0,4,4,106,22,
Walid Ghauri (NOR),2019-2026,32,31,3,830,100*,29.64,722,114.95,1,4,1,76,25,
TS Bharaj (DEN),2019-2026,39,38,4,828,63*,24.35,696,118.96,0,6,1,65,22,
SA Okpe (NGA),2019-2026,85,65,14,828,45*,16.23,797,103.88,0,0,5,52,28,
B Arora (MLT),2019-2024,56,51,9,826,66*,19.66,911,90.66,0,3,2,74,20,
L Yamamoto-Lake (JPN),2022-2025,42,42,3,825,134*,21.15,627,131.57,1,4,7,83,33,
AV Lazarus (THA),2024-2026,40,39,7,824,95,25.75,708,116.38,0,5,1,66,31,
Mohammad Nadeem (OMA),2015-2026,73,52,13,824,77*,21.12,796,103.51,0,3,2,52,21,
SR Taylor (USA),2019-2025,32,29,3,822,101*,31.61,615,133.65,1,4,3,90,35,
H Thaker (CAN),2019-2026,54,42,10,822,53*,25.68,668,123.05,0,2,0,49,35,
Imal Zuwak (SWE),2021-2026,47,46,3,818,70,19.02,775,105.54,0,3,5,78,16,
J Rasu (VAN),2019-2026,45,44,4,818,74,20.45,765,106.92,0,3,4,55,31,
Sarfaraz Ahmed (PAK),2010-2021,61,42,12,818,89*,27.26,653,125.26,0,3,2,79,15,
Chirag Suri (UAE),2018-2022,31,31,3,817,88,29.17,708,115.39,0,7,2,84,18,
JP Kotze (NAM),2019-2025,47,43,5,817,101*,21.5,679,120.32,1,2,6,81,38,
W Barresi (NED),2012-2024,46,44,7,812,75*,21.94,706,115.01,0,4,4,71,21,
Junaid Aziz (BHR),2020-2026,83,53,16,812,52,21.94,736,110.32,0,1,1,53,40,
Azmatullah Omarzai (AFG),2022-2026,66,55,10,808,53,17.95,641,126.05,0,1,6,49,39,
A Mansale (VAN),2019-2026,40,39,4,808,82,23.08,693,116.59,0,5,5,53,31,
A Mundra (SWE),2024-2026,33,32,4,806,76*,28.78,519,155.29,0,5,1,88,39,
RB Patel (UGA),2021-2024,42,39,8,805,68*,25.96,779,103.33,0,4,3,96,8,
CG Williams (NAM),2019-2022,35,33,4,805,81,27.75,713,112.9,0,6,3,69,23,
Manan Ali (KSA),2023-2025,47,43,8,803,52*,22.94,564,142.37,0,1,4,38,56,
Yasir Ali (ESP),2019-2025,43,39,8,803,80*,25.9,793,101.26,0,4,3,60,25,
Luka Woods (SRB),2024-2026,17,17,2,800,112,53.33,502,159.36,2,6,1,71,46,
P Khadka (NEP),2014-2020,33,32,3,799,106*,27.55,624,128.04,1,4,3,82,26,
AA Obanda (KENYA),2007-2023,51,47,4,797,103*,18.53,670,118.95,1,1,6,100,25,
Basil Hameed (UAE),2020-2026,65,54,17,796,51,21.51,628,126.75,0,2,3,42,41,
JN Loftie-Eaton (NAM),2021-2026,60,46,6,796,101,19.9,585,136.06,1,1,3,76,34,
IA De Silva (BUL),2020-2022,35,34,2,795,100*,24.84,690,115.21,1,4,3,72,37,
Zeeshan Kukikhel (HUN),2021-2025,27,27,1,793,137,30.5,508,156.1,1,5,1,83,42,
B Niaz (BEL),2021-2026,44,38,5,792,72*,24.0,629,125.91,0,4,5,64,41,
IDM Latin (GIBR),2022-2026,36,36,6,788,89,26.26,625,126.08,0,4,3,62,36,
Misbah-ul-Haq (PAK),2007-2012,39,34,13,788,87*,37.52,715,110.2,0,3,2,45,26,
B McMullen (SCOT),2023-2026,30,29,4,787,96,31.48,547,143.87,0,7,2,63,39,
Usman Ghani (AFG),2015-2023,35,34,3,786,73,25.35,733,107.23,0,4,0,76,21,
Azyan Farhath (MDV),2019-2024,35,35,7,784,66*,28.0,926,84.66,0,5,0,61,12,
Umar Adam (MDV),2019-2024,46,45,1,783,56,17.79,589,132.93,0,4,5,62,45,
Aamir Kaleem (OMA),2015-2026,58,50,6,779,72*,17.7,680,114.55,0,3,7,79,19,
S Wickramasekara (CZK-R),2019-2026,37,35,6,779,104*,26.86,511,152.44,1,6,3,59,48,
JG Bethell (ENG),2024-2026,33,30,6,773,105,32.2,511,151.27,1,4,0,61,45,
KR Mayers (WI),2020-2025,41,39,2,773,73,20.89,575,134.43,0,3,1,69,51,
S Adedeji (NGA),2019-2025,47,44,7,772,68,20.86,890,86.74,0,3,3,62,16,
J Bulele (MOZ),2019-2026,34,34,4,772,62*,25.73,812,95.07,0,4,3,97,5,
Aaron Jones (USA),2019-2025,48,43,11,770,94*,24.06,672,114.58,0,2,1,41,39,
AGS Gous (USA),2024-2026,27,26,1,770,81,30.8,539,142.85,0,6,1,67,42,
Anjar Tadarus (INA),2022-2026,89,74,14,767,59*,12.78,879,87.25,0,1,9,70,18,
RR Rossouw (SA),2014-2023,29,27,5,767,109,34.86,480,159.79,2,3,5,69,39,
PHKD Mendis (SL),2018-2026,46,41,4,766,65*,20.7,589,130.05,0,4,3,59,34,
YSD Seneveratne (CAY),2019-2026,29,29,7,766,150*,34.81,648,118.2,1,3,1,60,36,
NR Kirton (CAN),2019-2026,40,38,6,764,69*,23.87,624,122.43,0,2,0,51,29,
Karim Janat (AFG),2016-2025,75,56,11,759,56*,16.86,645,117.67,0,4,6,53,33,
R Ravindra (NZ),2021-2026,52,46,9,759,69,20.51,561,135.29,0,4,3,60,32,
LJ Wright (ENG),2007-2014,51,45,5,759,99*,18.97,554,137.0,0,4,9,68,31,
DJ Hussey (AUS),2008-2012,39,36,3,756,88*,22.9,623,121.34,0,3,4,41,34,
R Obuya (UGA),2023-2025,41,39,4,755,83,21.57,636,118.71,0,5,5,62,34,
Bilal Tahir (KUW),2019-2026,63,53,15,754,61*,19.84,545,138.34,0,1,4,45,52,
Khizer Ahmed (NOR),2019-2026,42,41,4,754,64*,20.37,650,116.0,0,2,4,74,22,
Jaker Ali (BAN),2023-2025,48,43,13,752,72*,25.06,611,123.07,0,3,1,41,41,
V Ravindran (HUN),2023-2026,28,27,1,749,77,28.8,508,147.44,0,5,1,87,32,
PBB Rajapaksa (SL),2019-2025,45,40,7,744,77,22.54,570,130.52,0,3,3,64,31,
R Chopra (UAE),2024-2026,39,35,7,742,80,26.5,636,116.66,0,5,2,53,29,
MD Gunathilaka (SL),2016-2022,46,45,0,741,57,16.46,615,120.48,0,3,4,78,21,
RD Rickelton (SA),2024-2026,29,29,3,741,77*,28.5,493,150.3,0,4,2,57,42,
Abbas Ghani (HUN),2023-2026,29,28,0,739,90,26.39,483,153.0,0,7,4,77,36,
SR Mukkamalla (USA),2024-2026,21,21,3,737,100*,40.94,494,149.19,1,6,0,72,31,
AR Patel (IND),2015-2026,98,61,19,736,65,17.52,565,130.26,0,1,4,51,28,
K Waiswa (UGA),2020-2024,73,57,11,736,66*,16.0,688,106.97,0,1,6,71,19,
T Banton (ENG),2019-2026,37,33,5,735,73,26.25,495,148.48,0,4,0,70,32,
O Harvey (GHA),2021-2026,46,42,6,733,107*,20.36,738,99.32,1,1,4,57,17,
KD Shah (HKG),2014-2025,54,49,8,733,79,17.87,691,106.07,0,3,8,58,17,
Jaspal Singh (MLT),2023-2026,45,44,10,728,68*,21.41,642,113.39,0,4,2,54,36,
PA Raikes (GIBR),2021-2026,26,26,2,728,74*,30.33,545,133.57,0,5,0,65,32,
SR Bhudia (KENYA),2019-2026,55,42,8,727,77*,21.38,593,122.59,0,3,2,63,22,
Basil George (MLT),2021-2024,34,34,2,724,103*,22.62,583,124.18,1,3,2,51,38,
YBK Jaiswal (IND),2023-2024,23,22,2,723,100,36.15,440,164.31,1,5,2,82,38,
MEK Hussey (AUS),2005-2012,38,30,11,721,60*,37.94,529,136.29,0,4,1,58,25,
D Doyle-Calle (ESP),2022-2025,35,31,6,717,72,28.68,525,136.57,0,3,0,50,38,
C Chatphaisan (THA),2022-2026,61,59,3,715,70*,12.76,722,99.03,0,2,15,64,21,
SJ Baard (NAM),2019-2022,28,28,3,714,92,28.56,632,112.97,0,5,1,61,18,
Aritra Dutta (SGP),2019-2025,37,37,1,712,122,19.77,551,129.21,1,2,2,71,35,
RS Bopara (ENG),2008-2014,38,35,10,711,65*,28.44,599,118.69,0,3,0,54,17,
NR Kumar (CAN/USA),2012-2024,36,32,4,711,83,25.39,567,125.39,0,4,2,51,25,
J Mees (LUX),2019-2024,40,39,7,709,85,22.15,600,118.16,0,3,4,67,22,
MK Pandey (IND),2015-2020,39,33,17,709,79*,44.31,562,126.15,0,3,2,49,19,
W Niyitanga (RWN),2021-2024,61,60,5,708,55*,12.87,858,82.51,0,2,7,47,21,
R Bakum (GHA),2019-2024,42,41,4,706,71,19.08,609,115.92,0,4,4,48,33,
SM Curran (ENG),2019-2026,77,50,15,703,58,20.08,549,128.05,0,2,0,41,32,
CK Kapugedera (SL),2006-2017,43,38,7,703,50,22.67,591,118.95,0,1,0,58,25,
Ravinderpal Singh (CAN),2019-2025,43,36,7,701,101,24.17,497,141.04,1,1,4,48,38,
Lakshit Gupta (CAM),2023-2025,35,35,5,700,62,23.33,684,102.33,0,3,1,58,26,
CJ Anderson (NZ/USA),2012-2024,42,34,6,697,94*,24.89,553,126.03,0,3,3,40,35,
D Brevis (SA),2023-2026,30,28,2,697,125*,26.8,427,163.23,1,1,1,39,55,
Musaddiq Ahmed (GER),2024-2026,19,19,0,696,122,36.63,383,181.72,2,2,1,70,48,
Naseem Khushi (OMA),2017-2024,51,39,3,696,69,19.33,442,157.46,0,3,4,46,50,
N Vanua (PNG),2015-2024,58,47,10,696,71,18.81,510,136.47,0,3,9,32,47,
G Kansonkho (MWI),2019-2026,59,50,7,693,52,16.11,820,84.51,0,1,4,71,3,
ZE Green (NAM),2019-2026,81,56,15,691,52*,16.85,636,108.64,0,1,4,60,13,
KD Karthik (ICC/IND),2006-2022,60,48,22,686,55,26.38,481,142.61,0,1,3,71,28,
I Takahashi (JPN),2022-2026,56,49,8,684,54*,16.68,526,130.03,0,1,5,48,35,
RW Chakabva (ZIM),2008-2022,49,49,2,682,48,14.51,557,122.44,0,0,11,59,27,
Parvez Hossain Emon (BAN),2022-2026,35,35,2,682,100,20.66,528,129.16,1,3,8,54,44,
C Roberts (Fran),2024-2026,29,28,7,682,53,32.47,666,102.4,0,2,1,49,5,
S Singh (KENYA),2021-2026,58,47,8,679,54*,17.41,676,100.44,0,1,5,79,4,
A Limdawala (MWI),2022-2026,57,44,5,678,68,17.38,763,88.85,0,3,2,48,16,
AS Samra (PHI),2023-2026,28,28,3,674,101,26.96,494,136.43,1,4,0,59,29,
RA Sealy (CAY),2022-2026,40,34,2,673,73*,21.03,489,137.62,0,3,3,42,39,
T Bavuma (SA),2019-2023,36,35,4,670,72,21.61,567,118.16,0,1,6,62,16,
KC D'Souza (BUL),2020-2022,36,33,9,669,92*,27.87,432,154.86,0,2,3,43,44,
RM Dorji (BHU),2019-2026,40,40,1,669,73,17.15,625,107.04,0,3,3,48,28,
Gulsan Jha (NEP),2022-2026,57,45,12,669,54,20.27,478,139.95,0,1,1,34,49,
Muhammad Amir (MAS),2019-2026,66,51,5,669,80,14.54,619,108.07,0,2,4,60,19,
CJ Chibhabha (ZIM),2006-2020,36,35,0,667,67,19.05,609,109.52,0,5,4,78,13,
JH Kallis (SA),2005-2012,25,23,4,666,73,35.05,558,119.35,0,5,0,56,20,
TB Robinson (NZ),2024-2026,31,28,3,665,106*,26.6,486,136.83,1,2,3,58,26,
RK Singh (IND),2023-2026,45,33,16,665,69*,39.11,427,155.73,0,3,2,55,38,
KD Abeyrathna (NOR),2021-2026,40,38,4,663,46*,19.5,677,97.93,0,0,1,58,15,
Arjun Vinod (SUI),2021-2026,35,34,6,661,67,23.6,592,111.65,0,1,2,63,15,
TLW Cooper (NED),2012-2022,33,32,4,659,81*,23.53,509,129.46,0,3,3,62,22,
W Boshoff (SWE),2021-2026,41,35,7,657,56*,23.46,613,107.17,0,2,3,45,19,
DC Smith (PHI),2019-2026,40,39,2,657,68,17.75,563,116.69,0,2,5,56,28,
KJ Stagno (GIBR),2022-2024,25,24,1,656,101,28.52,370,177.29,1,3,2,41,56,
A Ashokan (CZK-R),2019-2023,31,30,6,655,55*,27.29,580,112.93,0,3,0,31,26,
IDA Damarell (GUE),2020-2026,44,39,7,655,52,20.46,561,116.75,0,2,2,73,11,
Hamza Dar (ESP),2019-2025,33,28,9,653,91*,34.36,443,147.4,0,4,2,42,38,
L Lamin (SLE),2021-2026,53,48,11,652,52*,17.62,692,94.21,0,1,6,38,31,
Maaz Khan (LES),2021-2026,34,33,2,650,96,20.96,426,152.58,0,5,8,59,39,
M Akayezu (RWN),2021-2026,101,81,9,647,51,8.98,582,111.16,0,1,13,45,33,
B Ward (JER),2019-2026,48,36,11,644,58*,25.76,495,130.1,0,1,1,36,35,
DJ Hawoe (INA),2022-2026,111,82,18,643,40,10.04,535,120.18,0,0,15,38,35,
DJM Short (AUS),2018-2020,23,23,2,642,76,30.57,540,118.88,0,4,1,71,15,
M Simpson-Parker (AUT),2019-2025,41,34,5,640,65*,22.06,570,112.28,0,5,4,53,18,
Ahmed Hassan (SUI),2023-2026,29,28,5,639,59,27.78,492,129.87,0,2,1,40,44,
J Bangura (SLE),2021-2026,54,48,4,639,52*,14.52,825,77.45,0,1,7,48,9,
WG Jacks (ENG),2022-2026,42,35,6,639,53*,22.03,436,146.55,0,1,1,60,29,
PW Borren (NED),2008-2017,43,38,5,638,57,19.33,524,121.75,0,1,2,60,18,
C Green (AUS),2022-2026,28,26,4,638,62*,29.0,420,151.9,0,6,1,49,36,
D Ramdin (WI),2006-2019,71,50,16,636,55*,18.7,551,115.42,0,1,3,51,19,
Waji Ul Hassan (KSA),2024-2025,36,30,5,634,115*,25.36,527,120.3,1,3,4,47,23,
RD Gaikwad (IND),2021-2024,23,20,4,633,123*,39.56,441,143.53,1,4,1,65,24,
Habib Khan (EST),2021-2025,26,24,0,629,90,26.2,482,130.49,0,4,1,49,34,
ST Jayasuriya (SL),2006-2011,31,30,3,629,88,23.29,487,129.15,0,4,4,76,23,
OGL Bascome (BER),2019-2026,40,37,5,628,54,19.62,480,130.83,0,1,2,44,42,
Aziz Mohammad (BEL),2019-2026,26,26,1,627,72,25.08,459,136.6,0,6,2,65,33,
SSM Stanislaus (MLT),2020-2024,40,35,4,627,62,20.22,607,103.29,0,1,1,43,23,
Khawar Ali (OMA),2015-2022,41,35,3,626,72*,19.56,635,98.58,0,2,2,67,15,
Muhamad Syahadat (MAS),2019-2026,58,46,16,624,41*,20.8,596,104.69,0,0,3,40,22,
D Wiese (NAM/SA),2013-2024,54,40,14,624,66*,24.0,488,127.86,0,3,3,35,30,
SA Ahmad (DEN),2019-2026,37,33,4,623,66,21.48,580,107.41,0,3,1,57,13,
Rashid Khan (AFG/ICC),2015-2026,115,70,28,622,48*,14.8,470,132.34,0,0,8,41,40,
M Gunasekara (CYP),2024-2026,30,29,2,621,70,23.0,504,123.21,0,4,3,40,38,
Sediqullah Atal (AFG),2023-2026,29,29,2,621,73*,23.0,529,117.39,0,4,2,37,29,
Shamim Hossain (BAN),2021-2026,52,43,8,621,51,17.74,506,122.72,0,1,4,57,22,
MR Swart (NED),2012-2016,26,25,2,621,89,27.0,537,115.64,0,4,1,53,16,
PV Vuniwaqa (Fiji),2022-2026,22,22,1,617,72*,29.38,425,145.17,0,3,1,52,44,
D Myers (ZIM),2021-2026,37,34,3,613,96,19.77,499,122.84,0,2,3,55,18,
A Randhawa (AUT),2022-2026,44,39,9,613,78*,20.43,632,96.99,0,3,1,44,15,
MN Waller (ZIM),2011-2018,32,31,8,613,68,26.65,443,138.37,0,1,2,42,28,
T Jamtsho (BHU),2019-2026,42,42,6,611,66*,16.97,523,116.82,0,3,5,52,31,
Muhammad Asim (QAT),2024-2026,24,23,7,608,67*,38.0,438,138.81,0,5,4,59,21,
Ayaan Khan (OMA),2021-2024,42,37,5,607,53*,18.96,562,108.0,0,1,1,38,18,
NG Collins (FIN),2019-2023,24,24,1,604,79,26.26,612,98.69,0,4,0,52,8,
P Pushparajan (MLT),2025-2026,21,21,2,604,103,31.78,387,156.07,1,4,1,48,35,
Sheraz Sheikh (BEL),2021-2026,44,38,7,603,57,19.45,516,116.86,0,2,4,43,36,
M Podosky (PHI),2022-2025,35,35,4,602,101,19.41,525,114.66,1,1,6,47,33,
Mohammed Rizlan (QAT),2019-2024,44,37,8,598,72*,20.62,528,113.25,0,3,4,36,32,
TWM Latham (NZ),2012-2026,29,26,4,597,65*,27.13,545,109.54,0,4,1,51,11,
Noor Ali Zadran (AFG),2010-2023,23,23,1,597,63,27.13,586,101.87,0,4,1,55,9,
DM Gondaria (KENYA),2013-2026,30,27,3,595,92,24.79,469,126.86,0,3,1,53,19,
Salman Butt (PAK),2007-2010,24,23,2,595,74,28.33,551,107.98,0,3,1,66,10,
Faheem Ashraf (PAK),2017-2026,85,59,15,594,51,13.5,433,137.18,0,1,6,40,33,
VS Padhaal (FIN),2019-2026,43,41,3,594,84,15.63,579,102.59,0,2,3,55,11,
P Mishra (BUL),2019-2026,63,50,6,593,55,13.47,493,120.28,0,3,5,39,44,
Aarif Sheikh (NEP),2018-2026,51,39,7,592,39*,18.5,532,111.27,0,0,3,57,13,
US Hathinjar (CAM),2023-2025,36,36,2,591,74*,17.38,500,118.2,0,4,7,54,31,
PM Seelaar (NED),2008-2021,77,46,12,591,96*,17.38,532,111.09,0,1,1,43,12,
CN Ackermann (NED),2019-2026,29,29,4,590,62,23.6,507,116.37,0,1,3,43,14,
GD Arta (INA),2022-2026,82,59,12,589,46,12.53,685,85.98,0,0,6,35,30,
Janak Prakash (SGP),2019-2024,43,41,12,588,56,20.27,467,125.91,0,1,2,37,24,
Zahir Mohammed (HUN),2021-2025,37,34,0,588,85,17.29,387,151.93,0,3,4,42,42,
DJG Sammy (WI/World),2007-2017,68,52,18,587,42*,17.26,398,147.48,0,0,3,45,31,
YS Samra (CAN),2025-2026,20,19,3,586,110,36.62,367,159.67,1,3,0,56,33,
BA Stokes (ENG),2011-2022,43,36,9,585,52*,21.66,457,128.0,0,1,1,42,22,
PD Collingwood (ENG/World),2005-2017,36,33,2,583,79,18.8,459,127.01,0,3,3,37,24,
DR Smith (WI),2006-2015,33,32,0,582,72,18.18,474,122.78,0,3,1,62,31,
WAE Burton (SRB),2021-2025,38,36,6,581,84*,19.36,413,140.67,0,2,6,61,32,
Saim Hussain (BUL),2022-2023,18,17,2,578,108*,38.53,394,146.7,1,4,1,51,26,
SB Styris (NZ),2005-2010,31,29,2,578,66,21.4,483,119.66,0,1,0,40,25,
Aman Desai (SGP),2022-2025,40,38,1,577,64,15.59,496,116.33,0,2,5,54,16,
Asif Ali (PAK),2018-2023,58,51,13,577,41*,15.18,431,133.87,0,0,4,27,37,
A Ferguson (ARG),2019-2026,33,29,8,577,86*,27.47,619,93.21,0,3,3,59,4,
V Ganesan (GER),2019-2024,47,40,9,577,61*,18.61,546,105.67,0,2,1,60,1,
